,,,,,,,11465532.42,821.7777778,6.702702703,74.62121212,42.91875,131329.5542,68308777108,2.601027027,7.845405405,18.93092784,1964.056856,4.361494845,41.8271134,502.0251256,9.326633166,0.105527638,28.13065327,8.236180905,68.60301508,0.175879397,12.26633166,0.201005025,0.195979899,0.371859296,0.472361809,29.38190955,11.28643216,0.497487437,57.77889447
,eid,gender,birth_year,edu_degree,course_category,course_type,course_duration,student_amount,course_amount,dropout_rate_of_course,dropout_rate_of_user,L_mean,L_var,L_skew,L_kurtosis,S_mean,S_var,S_skew,S_kurtosis,11,12,13,14,21,22,23,24,31,32,33,34,41,42,43,44
0,2028,1,7,3,12,0,8899200,939,19,79,15,225742,1.0395E+11,1.69,1.93,22.82,2271.49,3.14,9.97,6,0,0,2,0,0,0,0,0,0,0,0,2,0,0,63
1,2187,0,,0,12,0,8899200,939,3,79,33,150599.25,1.24264E+11,2.21,3.42,17.71,830.96,2.37,5.56,49,0,0,6,0,0,0,0,0,0,0,0,7,0,0,26
2,3212,0,,0,17,0,10681200,344,5,82,60,127557.95,1.05308E+11,2.66,6.02,22.39,2330.7,3.07,9.74,217,9,0,25,1,104,0,17,0,0,0,0,33,9,0,89
3,3453,0,11,3,17,0,10681200,344,108,82,57,516131,2.29876E+11,1.21,0.07,48.69,8073.14,1.72,1.44,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,6
4,4136,2,0,0,8,0,40750200,992,11,83,72,581449.75,5.38742E+11,0.9,0.92,5.56,183.05,5.49,32.06,0,1,0,5,1,5,0,1,0,0,0,0,6,1,0,33
5,4150,1,9,4,8,0,40750200,992,13,83,69,463293.25,1.94265E+11,1.11,0.7,31.52,5867.64,2.59,5.23,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0,18
6,4312,1,8,4,8,0,40750200,992,4,83,0,,,,,23.21,2349.14,4.28,20.59,14,0,0,6,0,0,0,0,0,0,0,0,6,0,0,19
7,4510,1,,0,8,0,40750200,992,4,83,75,24558.3,6842330560,5.14,27.23,25.36,2352.25,2.72,7.44,246,10,0,42,5,73,0,13,0,0,0,0,48,8,0,56
8,5022,1,8,7,8,0,40750200,992,3,83,0,,,,,4.42,23.08,1.45,0.83,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9
9,5386,2,9,5,8,0,40750200,992,7,83,42,61666.98,21630161335,2.62,5.6,15.26,1373.78,4.08,18.7,406,28,0,99,25,339,0,51,0,0,0,1,102,48,1,210
10,5446,2,7,3,8,0,40750200,992,6,83,16,186767.8,72174265718,1.17,0.3,4.19,24.92,1.59,1.55,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,13
