,,,,,,,10498895.62,1035.117904,4.900720937,75.29032258,77.726979,108982.5404,72459467846,2.216320579,5.46140848,19.08268854,1895.704933,3.408738089,17.22988701,120.231779,2.56832104,0.01887736,16.34691836,2.771096387,29.53294162,0.02200275,4.57232154,0.01887736,0.013876735,0.081510189,0.127640955,16.27753469,4.825853232,0.121015127,28.02375297
,eid,gender,birth_year,edu_degree,course_category,course_type,course_duration,student_amount,course_amount,dropout_rate_of_course,dropout_rate_of_user,L_mean,L_var,L_skew,L_kurtosis,S_mean,S_var,S_skew,S_kurtosis,11,12,13,14,21,22,23,24,31,32,33,34,41,42,43,44
0,803,1,7,4,12,0,8899200,939,2,79,,54389.18,22827840814,4,15.84,18.45,1947.74,3.6,13.67,175,0,0,45,0,0,0,0,0,0,0,0,45,0,0,116
1,850,0,,0,12,0,8899200,939,,79,,157348.83,1.32179E+11,2.17,3.18,15.32,475.55,1.78,1.99,17,0,0,6,0,0,0,0,0,0,0,0,6,0,0,39
2,857,0,,0,12,0,8899200,939,,79,,5645.54,274554551.1,3.24,8.71,23.79,2741.69,2.89,8.35,75,0,0,14,0,0,0,0,0,0,0,0,15,0,0,34
3,904,1,9,3,12,0,8899200,939,20,79,80,81400.25,37562975240,2.09,2.56,16.52,2302.07,4.19,17.53,75,0,0,21,0,0,0,0,0,0,0,0,21,0,0,67
4,933,1,,0,12,0,8899200,939,8,79,100,101016.83,61736108310,2.57,5.17,33.56,4149.77,2.14,3.42,55,0,0,4,0,0,0,0,0,0,0,0,4,0,0,2
5,941,2,8,5,12,0,8899200,939,4,79,75,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,952,2,8,3,12,0,8899200,939,9,79,77,43551.8,6354376580,1.62,0.91,15.81,1444.27,4.24,20.36,113,0,0,17,0,0,0,0,0,0,0,0,17,0,0,65
7,956,0,,0,12,0,8899200,939,2,79,,85668.67,50421218673,3.42,10.75,17.01,2150.14,3.73,13.26,83,0,0,13,0,0,0,0,0,0,0,0,13,0,0,43
8,986,1,9,3,12,0,8899200,939,12,79,83,138461.2,91776854992,2.08,2.86,13.34,1291.35,3.7,12.97,37,0,0,5,0,0,0,0,0,0,0,0,5,0,0,24
9,1004,1,8,4,12,0,8899200,939,1,79,,,,,,27.28,2680.51,2.65,6.27,50,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4
10,1024,2,9,3,12,0,8899200,939,5,79,100,,,,,9.2,18.56,0.81,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
11,1040,2,9,3,12,0,8899200,939,3,79,100,58785.66,41520437800,4.16,16.67,27.4,3126.06,2.76,7.24,261,0,0,23,0,0,0,0,0,0,0,0,23,0,0,31
12,1061,2,9,4,12,0,8899200,939,4,79,100,2874,17731775.33,1.62,0.84,31.89,3653.57,2.64,6.36,25,0,0,4,0,0,0,0,0,0,0,0,5,0,0,9
13,1131,2,8,4,12,0,8899200,939,1,79,,80139.87,28227094651,2.34,4.52,14.08,1452.93,4.5,22.69,323,0,0,24,0,0,0,0,0,0,0,0,25,0,0,60
